peak_t,peak_vel,valley_t,valley_vel,drop_ratio,valley_dur,cand_dur_before,cand_dur_after,reason
3.9,0.25481607657532135,5.6000000000000005,0.04574686916176428,0.8204710245264218,3,1.7000000000000006,1.7000000000000006,VALLEY_DETECTED (ACCEPTED)
6.5,0.1918243876987613,6.9,0.047749008495994116,0.7510795729947614,3,1.2999999999999998,1.2999999999999998,VALLEY_DETECTED (ACCEPTED)
9.5,0.19393747830992222,10.0,0.05174530348595667,0.7331856434512108,3,3.0999999999999996,3.0999999999999996,VALLEY_DETECTED (ACCEPTED)
11.2,0.191658664005765,13.1,0.07341468957475142,0.6169508435447346,3,3.0999999999999996,3.0999999999999996,VALLEY_DETECTED (ACCEPTED)
14.1,0.19735981241528613,14.5,0.06326225325220215,0.6794572690458115,3,1.4000000000000004,1.4000000000000004,VALLEY_DETECTED (ACCEPTED)
15.3,0.1785036637109435,15.6,0.052704585444135345,0.704742276161449,3,1.0999999999999996,1.0999999999999996,VALLEY_DETECTED (ACCEPTED)
17.0,0.19934391956704378,18.099999999999998,0.0207164461925094,0.8960768593418672,3,2.4999999999999982,2.4999999999999982,VALLEY_DETECTED (ACCEPTED)
19.8,0.1947428928724045,21.3,0.03582996091237336,0.8160140255498354,3,1.9000000000000021,1.9000000000000021,VALLEY_DETECTED (ACCEPTED)
22.4,0.17309394853414295,22.8,0.0,1.0,3,1.5,1.5,VALLEY_DETECTED (ACCEPTED)
