t,pose,hand_l,hand_r,v_wrist_l,v_wrist_r,v_index_l,v_index_r,v_avg
6.5,True,True,True,0.08024639115026773,0.06516236236312958,0.0,0.0,0.07270437675669866
6.6,True,True,True,0.034896419877181506,0.015386077206347697,0.03427980924800884,0.05206671403317622,0.03415725509117856
6.7,True,True,True,0.02442673786062285,0.013567983737703909,0.008277920947024162,0.019990268531803627,0.01656572776928864
6.8,True,True,True,0.055031552112578326,0.009087494815006354,0.03256729929277745,0.02102976827263289,0.029429028623248754
6.9,True,True,True,0.019677351156532557,0.01615986256800279,0.0465230101722673,0.02593794569653386,0.027074542398334126
7.0,True,True,True,0.013825243881483576,0.011766659580889799,0.01338529246630783,0.027862257392573423,0.016709863330313657
7.1,True,True,True,0.007256901258472573,0.0028410527715637874,0.020046166035644852,0.009874172785353935,0.010004573212758787
7.2,True,True,True,0.016745336406605367,0.00572005817538757,0.025571578992123256,0.02748217681090275,0.018879787596254735
7.3,True,True,True,0.009279036743029748,0.0024787688232481135,0.002319547169609659,0.008570551256268264,0.005661975998038946
7.4,True,True,True,0.027030865364713975,0.013812347924214336,0.022210406814683354,0.017194481379560905,0.020062025370793143
7.5,True,True,True,0.019679564427159003,0.015278757039023674,0.029424953221424202,0.023208918248369747,0.021898048233994157
7.6,True,True,True,0.044849340461126846,0.023336813940529298,0.03413940924617496,0.031703913922974544,0.03350736939270141
7.7,True,True,True,0.03315758401700747,0.0029531040620063356,0.0005898268689462139,0.003979384102333527,0.010169974762573386
7.8,True,True,True,0.04837987400883041,0.00723877893803624,0.0046325525299471225,0.008069543046277959,0.017080187130772934
7.9,True,False,True,0.026791029359608597,0.0162356331783494,0.0,0.02855411082839034,0.02386025778878278
8.0,True,False,False,0.07169742341333987,0.07545337866177819,0.0,0.0,0.07357540103755902
8.1,True,False,False,0.1660266261325621,0.12293910706492595,0.0,0.0,0.14448286659874404
8.2,True,False,False,0.17785943295924964,0.11141564039754036,0.0,0.0,0.144637536678395
8.3,True,False,False,0.022325821544842854,0.010278665190464638,0.0,0.0,0.016302243367653745
8.4,True,False,False,0.012592770817982553,0.009899216280504792,0.0,0.0,0.011245993549243672
8.5,True,False,False,0.07657313761017455,0.02468509349509051,0.0,0.0,0.050629115552632525
8.6,True,False,False,0.032952849177273855,0.011084895759189585,0.0,0.0,0.02201887246823172
8.7,True,False,False,0.09816024010731975,0.0389760285035487,0.0,0.0,0.06856813430543422
8.8,True,False,False,0.051500813823183236,0.00855550464256596,0.0,0.0,0.0300281592328746
8.9,True,False,False,0.0542302860864758,0.027632715413820907,0.0,0.0,0.040931500750148356
9.0,True,False,False,0.027595560841401058,0.04310168830355052,0.0,0.0,0.035348624572475784
9.1,True,False,False,0.09375000946980994,0.08505680136094108,0.0,0.0,0.0894034054153755
